CC,inner_fold_idx
301014,0
301016,0
301027,0
2201023,0
8709041,0
301004,0
301008,0
301011,0
301003,0
301033,0
301005,0
1101001,0
1101004,0
1101011,0
1401017,0
1401012,0
1401014,0
1401015,0
1401020,0
1401005,0
1401007,0
2101013,0
2201010,0
2201007,0
2202013,0
2202026,0
3601003,0
4701006,0
4701008,0
4701013,0
4701016,0
4701019,0
4801003,0
6201008,0
6801001,0
8401007,0
8401011,0
8701001,0
8702001,0
8702028,0
8702054,0
8702057,0
8702016,0
8702030,0
8702005,0
8702008,0
8702010,0
8702048,0
8702033,0
8702040,0
8702041,0
8703112,0
8703115,0
8703107,0
8703096,0
8703011,0
8703012,0
8703013,0
8703102,0
8703023,0
8703025,0
8703026,0
8703027,0
8703028,0
8703015,0
8703019,0
8703021,0
8703031,0
8703002,0
8703040,0
8703042,0
8703044,0
8703046,0
8703078,0
8703080,0
8703081,0
8703088,0
8703057,0
8703060,0
8703062,0
8703068,0
8703032,0
8703072,0
8703073,0
8703076,0
8703049,0
8703054,0
8703056,0
8703036,0
8703037,0
8706003,0
8706004,0
8706005,0
8706009,0
8706020,0
8706038,0
8706016,0
8707003,0
8707004,0
8707006,0
8707013,0
8707015,0
8707023,0
8707020,0
8707009,0
8707016,0
8708011,0
8708012,0
8708001,0
8708006,0
8708008,0
8708009,0
8709005,0
8709026,0
8709028,0
8709030,0
8709034,0
8709040,0
8709056,0
8709003,0
8709018,0
8709023,0
8709025,0
8709057,0
8709058,0
8709060,0
8709062,0
8709053,0
9901001,0
12701008,0
12701012,0
12701013,0
13402001,0
13402002,0
13402014,0
13402015,0
13402026,0
14401001,0
14501036,0
14501008,0
14501009,0
14501015,0
14501039,0
14501045,0
14501006,0
14501007,0
15801002,0
16501003,0
16501002,0
17501010,0
17501001,0
19301009,0
19301011,0
19301021,0
19301024,0
19301025,0
19301002,0
19301005,0
90501026,0
90501004,0
90501030,0
90501037,0
90501039,0
90501044,0
90501045,0
90501034,0
90501012,0
90501015,0
90501016,0
91101007,0
91101004,0
301017,1
301024,1
301025,1
301026,1
8708002,1
301009,1
301029,1
301032,1
301002,1
1101005,1
1101009,1
1101010,1
1101006,1
1401011,1
1401018,1
1401021,1
1401023,1
1401025,1
1401003,1
1401008,1
1401009,1
2101010,1
2101004,1
2101005,1
2101007,1
2201009,1
2201001,1
