CC,MUN,LAT,LON,YEAR,SUP,NVIV,VAI,VPA,VAD,PMC,PMA,CON,PIS,PTP,PBA,CFU,CGO,GIM,PAR,MOB,JAR
301014,ALBOLOTE,440856.399,4126716.381,2011,14519.629999999997,61,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1
301015,ALBOLOTE,440502.598,4126703.923,1986,6190.149999999999,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
301016,ALBOLOTE,440487.649,4126771.195,1986,5006.580000000001,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301017,ALBOLOTE,440549.938,4126833.484,1986,5196.589999999997,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301018,ALBOLOTE,440597.277,4126783.653,1986,5079.12,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301019,ALBOLOTE,440975.994,4126811.06,1985,11385.67,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301020,ALBOLOTE,440985.96,4126910.722,1988,8865.24,12,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
301021,ALBOLOTE,440896.264,4126920.689,1988,9261.59,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301022,ALBOLOTE,440826.5,4126925.672,1988,8912.87,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301023,ALBOLOTE,440721.855,4126910.722,1985,4222.69,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301024,ALBOLOTE,440764.211,4126850.925,1985,6861.31,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301025,ALBOLOTE,440674.515,4126870.858,1985,8485.560000000001,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301026,ALBOLOTE,440828.992,4127007.893,1986,9446.0,26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
301027,ALBOLOTE,441068.181,4126987.961,1976,11236.0,78,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
2201023,ATARFE,440127.81,4126980.272,2012,60180.88000000003,71,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8709041,GRANADA,448555.671,4112918.561,2010,191625.17000000027,748,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
8708002,GRANADA,447749.212,4115785.736,2005,50845.0,359,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
14501004,OGIJARES,444425.041,4109529.329,2012,19958.24999999999,33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2101001,ARMILLA,445660.396,4112346.241,2001,7474.0,115,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1
15001001,PADUL,443368.319,4099240.802,2019,541277.77,523,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
301004,ALBOLOTE,441877.955,4120560.585,1986,2029.0,33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
301007,ALBOLOTE,442028.539,4122498.229,1998,4939.0,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
301008,ALBOLOTE,442094.352,4122404.818,2017,15458.0,147,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1
301009,ALBOLOTE,442028.539,4122453.646,2004,1607.0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
301011,ALBOLOTE,442096.475,4122568.288,2007,11876.0,62,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1
301012,ALBOLOTE,442121.951,4122653.208,2008,4850.0,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
301029,ALBOLOTE,441729.608,4120561.254,1995,438.0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
301003,ALBOLOTE,441550.31,4120244.796,2008,1046.0,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
301028,ALBOLOTE,441810.163,4123135.354,2007,76594.2999999999,136,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
301032,ALBOLOTE,442436.443,4119990.613,2004,8574.0,198,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
301033,ALBOLOTE,441830.338,4120354.901,2009,515.0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
301005,ALBOLOTE,441487.75,4120912.295,1995,1904.0,34,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
301001,ALBOLOTE,442211.905,4120207.651,1993,6968.0,112,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
301002,ALBOLOTE,442070.15,4120083.078,1993,3273.0,59,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1101001,ALFACAR,449824.975,4122249.103,2007,4880.0,54,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1101002,ALFACAR,450201.649,4122041.759,1968,2061.0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1101004,ALFACAR,450414.538,4122272.7,2003,12884.0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1101005,ALFACAR,450579.788,4122365.984,1998,2192.0,11,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1101009,ALFACAR,450690.813,4122439.72,1980,1030.0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1101010,ALFACAR,450636.266,4122492.247,1983,1219.0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
1101011,ALFACAR,450815.081,4122464.188,1978,9863.0,54,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1
1101014,ALFACAR,450785.759,4122741.713,1980,10169.0,20,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1
1101003,ALFACAR,450438.366,4121772.212,1981,1503.0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1101006,ALFACAR,450698.32,4122264.731,1989,3933.0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1101008,ALFACAR,450898.269,4121938.624,1971,6495.0,49,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1
1401017,ALHENDIN,441873.85,4106067.822,2002,79960.9,104,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1
1401011,ALHENDIN,442415.011,4107345.207,1995,10838.0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1401012,ALHENDIN,442533.8,4106967.816,2008,2783.0,54,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1401013,ALHENDIN,442564.285,4106937.33,2006,3665.0,49,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
1401014,ALHENDIN,442447.465,4106650.259,2006,2710.0,24,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1401015,ALHENDIN,442295.974,4106663.918,2008,1225.0,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1401018,ALHENDIN,440795.78,4106693.15,2008,3137.0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1401020,ALHENDIN,444152.686,4109524.362,1998,3384.0,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1401021,ALHENDIN,444229.199,4109520.111,2002,5968.0,31,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1401022,ALHENDIN,444304.728,4109508.309,2004,5317.0,33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1401023,ALHENDIN,444116.693,4109457.957,1992,7272.94,36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1401024,ALHENDIN,444087.583,4109366.693,1989,7369.0,32,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1401025,ALHENDIN,444078.761,4109140.82,1999,3338.0,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1401001,ALHENDIN,443506.027,4107308.089,2012,1921.0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1401002,ALHENDIN,443508.331,4107248.195,2008,2538.0,50,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1401003,ALHENDIN,443400.061,4107282.749,2008,13363.0,324,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1401004,ALHENDIN,443434.615,4107199.819,2008,6927.0,140,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
1401005,ALHENDIN,443342.47,4107328.822,2007,4401.0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1401006,ALHENDIN,443135.145,4107315.0,2006,3731.0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1401007,ALHENDIN,443100.59,4107174.479,1995,2328.0,21,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1401008,ALHENDIN,443358.595,4106957.939,2008,22142.0,247,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
1401009,ALHENDIN,443245.718,4106826.633,2008,21404.0,256,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
1401010,ALHENDIN,442877.139,4107130.711,2003,1238.0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
