Protegido,Controlado,Autoaislado,Individualista,Simbólico,CC
0.032952283,0.034110643,0.05992749,0.8415543,0.031455237,301015
0.032346893,0.033467926,0.05798718,0.84533536,0.030862546,301019
0.02845421,0.03094696,0.052224196,0.8592453,0.029129352,301020
0.17741844,0.52571017,0.07006983,0.13988176,0.086919755,301012
0.028593002,0.043684844,0.8568481,0.0275722,0.04330184,301028
0.05641429,0.6804158,0.033951815,0.04937384,0.17984422,301001
0.05954001,0.7947838,0.03313932,0.05720697,0.055329856,1101002
0.05803419,0.7979708,0.032807086,0.056412797,0.05477515,1101014
0.823387,0.04485876,0.02427373,0.02632978,0.081150636,1101008
0.835623,0.04240577,0.024254583,0.027025511,0.070691064,1401001
0.84336513,0.051584356,0.026116287,0.027038911,0.051895373,1401004
0.045824975,0.08527603,0.03608735,0.77224785,0.06056372,2101003
0.051663015,0.8017746,0.048538823,0.052876547,0.045146946,2101006
0.8137503,0.048905812,0.025199214,0.02630191,0.085842766,2101016
0.038374584,0.065391734,0.032121915,0.7541245,0.10998723,2101012
0.026789356,0.043419357,0.022189895,0.83906615,0.068535306,2201011
0.057781976,0.74151295,0.03441133,0.060458772,0.10583494,2201022
0.023911016,0.03747999,0.020015007,0.8347882,0.08380572,3601005
0.034197114,0.058900665,0.037849158,0.81008935,0.058963686,3601007
0.021277916,0.022292513,0.9077236,0.020105205,0.0286007,4701004
0.055476796,0.6691087,0.033387605,0.05829685,0.1837301,4701009
0.053561684,0.74910986,0.032235026,0.05471888,0.11037452,4701001
0.05954001,0.7947838,0.03313932,0.05720697,0.055329856,4701010
0.030744255,0.059943177,0.026179168,0.80794066,0.07519272,4701018
0.038374584,0.065391734,0.032121915,0.7541245,0.10998723,4701022
0.05954001,0.7947838,0.03313932,0.05720697,0.055329856,4701017
0.057781976,0.74151295,0.03441133,0.060458772,0.10583494,6201009
0.15272896,0.17190556,0.56128216,0.06278019,0.05130321,6801002
0.029434858,0.05057571,0.0250642,0.7897624,0.10516285,8401014
0.110263065,0.031525962,0.034126762,0.02754881,0.7965354,8401005
0.030255653,0.05624628,0.025763119,0.769364,0.11837093,8401012
