CC,feature,URB,shap_value,fold
301015,CSS,1,0.011086124,0
301015,CSS,2,0.017871652,0
301015,CSS,3,-0.80306166,0
301015,CSS,4,0.3158801,0
301015,CSS,5,-4.5976696e-05,0
301015,CFS,1,-0.002875891,0
301015,CFS,2,0.009115235,0
301015,CFS,3,-0.38860366,0
301015,CFS,4,0.0236925,0
301015,CFS,5,0.033542763,0
301015,CPE,1,0.0008174629,0
301015,CPE,2,0.0023504128,0
301015,CPE,3,-0.14873812,0
301015,CPE,4,0.042805225,0
301015,CPE,5,-0.006215431,0
301015,LIN,1,0.015241899,0
301015,LIN,2,0.025501953,0
301015,LIN,3,-0.022902679,0
301015,LIN,4,0.0020579156,0
301015,LIN,5,-0.12468193,0
301015,LEX,1,0.0066655516,0
301015,LEX,2,-0.0049802396,0
301015,LEX,3,0.00018387246,0
301015,LEX,4,0.08088517,0
301015,LEX,5,-0.018611968,0
301015,DIS_1,1,0.00088828313,0
301015,DIS_1,2,-0.052877642,0
301015,DIS_1,3,0.11490928,0
301015,DIS_1,4,0.005690881,0
301015,DIS_1,5,-0.01662817,0
301015,DIS_2,1,0.0005026028,0
301015,DIS_2,2,0.002901873,0
301015,DIS_2,3,-0.13357858,0
301015,DIS_2,4,0.040782113,0
301015,DIS_2,5,0.009947703,0
301015,DIS_3,1,-0.04990898,0
301015,DIS_3,2,-0.39018455,0
301015,DIS_3,3,0.93929833,0
301015,DIS_3,4,-0.088552296,0
301015,DIS_3,5,-0.49521577,0
301015,VER,1,0.011211689,0
301015,VER,2,0.026224626,0
301015,VER,3,-0.00014597649,0
301015,VER,4,-0.003204381,0
301015,VER,5,-0.15101309,0
301015,MUR,1,0.0023729638,0
301015,MUR,2,0.020612327,0
301015,MUR,3,-0.026716767,0
301015,MUR,4,0.0076952903,0
301015,MUR,5,-0.08158247,0
301015,CAD,1,0.0,0
301015,CAD,2,0.0,0
301015,CAD,3,0.0,0
301015,CAD,4,0.0,0
301015,CAD,5,0.0,0
301015,BOL,1,0.0,0
301015,BOL,2,9.463221e-05,0
301015,BOL,3,0.0,0
301015,BOL,4,0.005319608,0
301015,BOL,5,-0.00898309,0
301015,ARB,1,0.0015458546,0
301015,ARB,2,-0.00086662767,0
301015,ARB,3,0.0054549966,0
301015,ARB,4,-0.004195067,0
301015,ARB,5,-0.0020689208,0
301015,CPP,1,0.0019875402,0
301015,CPP,2,0.0,0
301015,CPP,3,-0.016773643,0
301015,CPP,4,0.0059286156,0
301015,CPP,5,0.0025073236,0
301015,PVI,1,-0.24428469,0
301015,PVI,2,-1.3496343,0
301015,PVI,3,0.0,0
301015,PVI,4,1.5145961,0
301015,PVI,5,8.8960194e-05,0
301015,PBL,1,0.036016583,0
301015,PBL,2,0.07036929,0
301015,PBL,3,0.0,0
301015,PBL,4,-0.27260637,0
